|NombreProceso|NombreGrupo|Fecha|total_ejecucionesFecha|total_mipsFecha
1790|WFL/OPCON/COPIA/SALIDA/CREXARCPPT/PROD|PRESUPUESTOS|2024-09-11|1|2.957554862642702e-06
1791|WFL/OPCON/DRETIPRPX|OPERACION|2024-09-11|354|0.0005269768124569077
1792|(SINCO)PSINCO/CRCOMBESPE ON EXF|UNISYS_UNASSIGNED|2024-09-11|1|0.00017685865109834826
1793|(SINCO)PSINCO/CRDESPLUEV ON EXF|UNISYS_UNASSIGNED|2024-09-11|2|7.761625459633759e-06
1794|(CPY)CPY/COMSDBINTERFACE|OPERACION|2024-09-11|2|0.0
1795|WFL/OPCON/CRGENLISMO|DESPACHOS|2024-09-11|1|2.4255079561355494e-06
1796|*SYSTEM/EVASUPPORT|UNISYS_SW1|2024-09-11|2|0.0
1797|WFL/OPCON/COPIA/SALIDA/RESPALDO/CROMSNVD-C|OPERACION|2024-09-11|112|0.0003816810616651754
1798|WFL/OPCON/COPIA/SALIDA/RESPALDO/WRLISINSAP|OPERACION|2024-09-11|90|0.00030805515886764143
1799|WFL/OPCON/WRBAJAPEDI/CORTES|PEDIDOS|2024-09-11|4|5.915109725285404e-06
1800|(SINCO)PSINCO/WRCARGANGP ON EXF|COBROS|2024-09-11|15|0.002820631026409244
1801|WFL/OPCON/COPIA/SALIDA/CRCEEXECAR|OPERACION|2024-09-11|1|1.4083594584012866e-06
1802|(SINCO)PSINCO/DRMARLIPRR ON EXF|UNISYS_UNASSIGNED|2024-09-11|92|0.020111107042517125
1803|(SINCO)PSINCO/WRPMENVDER ON EXF|UNISYS_UNASSIGNED|2024-09-11|98|0.01969729973676197
1804|WFL/OPCON/COPIA/SALIDA/RESPALDO/CRCOSREAUT|OPERACION|2024-09-11|1|3.0983908084828303e-06
1805|(SINCO)PSINCO/IRREVALTRA ON EXF|TRANSPORTE|2024-09-11|2|5.719504244951893e-05
1806|(SINCO)PSINCO/IRLISCONSU ON EXF|INVENTARIOS|2024-09-11|3|0.0026953652768036615
1807|WFL/OPCON/COPIA/SALIDA/RESPALDO/CRRECCOSIR|OPERACION|2024-09-11|69|0.0001736194243440253
1808|*LOCUM/SAFELIB/ADMINDESK/INTERFACE/|UNISYS_SW1|2024-09-11|2|1.6900313500815442e-06
1809|WFL/OPCON/COPIA/SALIDA/CRPROVAUTO|OPERACION|2024-09-11|1|1.4866016505346916e-06
1810|(SINCO)PSINCO/CRACTPEDPT ON EXF|UNISYS_UNASSIGNED|2024-09-11|2|0.0002468854130577455
1811|(SINCO)PSINCO/DRPREPCOL ON EXF|MARCACION|2024-09-11|2|0.004542147034605268
1812|(SINCO)PSINCO/CRDEVTRVMI ON EXF|DEVOLUCIONES|2024-09-11|1|0.00030276598667942326
1813|WFL/OPCON/WRCARPUOMQ|OPERACION|2024-09-11|168|0.0002561179917294872
1814|WFL/OPCON/DRMARLINEA|OPERACION|2024-09-11|92|0.00015742329057241047
1815|WFL/OPCON/COPIA/SNDMV/ENTRADA/WRPMCARPAV|OPERACION|2024-09-11|1|1.8934610496283964e-06
1816|WFL/OPCON/WRDOCTODIF|CXP|2024-09-11|4|1.6352618155881607e-05
1817|WFL/OPCON/CRREPCAART/CORTES|OPERACION|2024-09-11|69|0.00010116715442849246
1818|(SINCO)PSINCO/WRCOPPREAI ON EXF|PRECIOS|2024-09-11|1|0.004671309245379095
1819|(SINCO)PSINCO/DRINFCUMVI ON EXF|PROGRAMASUSUARIOS|2024-09-11|2|2.3112743556207787e-05
1820|WFL/OPCON/CRLISUCATE|OPERACION|2024-09-11|1|1.29882038941452e-06
1821|WFL/OPCON/COPIA/SALIDA/DUMMY/CRCREARFAB|OPERACION|2024-09-11|1|2.1281876260286107e-06
1822|(SINCO)PSINCO/CRGENSOEVE ON EXF|PEDIDOS|2024-09-11|1|0.00017646744013768121
1823|WFL/OPCON/CRDISTRISU|MILAN|2024-09-11|4|5.602140956751784e-06
1824|WFL/OPCON/COPIA/SNDMV/SALIDA/WRPEDIRCOM|CXP|2024-09-11|1|2.1281876260286107e-06
1825|WFL/OPCON/COPIA/ENTRADA/CRCARCETIA|OPERACION|2024-09-11|1|2.4255079561355494e-06
1826|(SINCO)PSINCO/DRINFDBREC ON EXF|PROGRAMASUSUARIOS|2024-09-11|2|3.783792411571457e-05
1827|(SINCO)PSINCO/CRPLANIMUL ON EXF|UNISYS_UNASSIGNED|2024-09-11|2|0.0011108044017179481
1828|WFL/OPCON/COPIA/ENTRADA/RESPALDO/DRCEDEFIP|OPERACION|2024-09-11|1|6.541047262352642e-06
1829|(SINCO)PSINCO/CRPEDIXNIT ON EXF|PEDIDOS|2024-09-11|22|0.1313810811005359
1830|WFL/OPCON/COPIA/SNDMV/SALIDA/WRPMCARSUM|OPERACION|2024-09-11|69|0.00012127539780677752
1831|WFL/OPCON/COPIA/SALIDA/RESPALDO/WRPMENVDEP|OPERACION|2024-09-11|98|0.00044928231566843715
1832|(SINCO)PSINCO/DRINFDRVIA ON EXF|PROGRAMASUSUARIOS|2024-09-11|981|0.17951005991161148
1833|WFL/OPCON/CRPROUNSU|OPERACION|2024-09-11|1|1.4083594584012866e-06
1834|WFL/OPCON/COPIA/SALIDA/WRCOMPRSAP-CIA/COMP|CXP|2024-09-11|1|1.7682735422149488e-06
1835|WFL/OPCON/COPIA/ENTRADA/DRDERPPLAP|OPERACION|2024-09-11|1|2.190781379735335e-06
1836|WFL/OPCON/CRINFORPED|PEDIDOS|2024-09-11|1|3.5208986460032166e-06
1837|(SINCO)OBJECT/S/DOCTOS ON EXF|UNISYS_UNASSIGNED|2024-09-11|1|7.03710276047843e-05
1838|WFL/OPCON/COPIA/SNDMV/ENTRADA/SASMINER/ALMACEN_V|OPERACION|2024-09-11|587|0.001845263859274221
1839|WFL/OPCON/DRPRIPRPOP|OPERACION|2024-09-11|556|0.0008419016357938629
1840|WFL/OPCON/CREA/PARAMETROS/WRCARETIMQ/WRPUTETIMQ|CDISCOUNT|2024-09-11|97|0.0003197758392492257
1841|*LIBRARY/MAINTENANCE|MONITOREO|2024-09-11|10|0.001213411212481695
1842|(SINCO)PSINCO/WRENVIMENS ON EXF|WMS|2024-09-11|283|0.1382622158752156
1843|(SINCO)PSINCO/CRFPRSBL ON EXF|ROTAR|2024-09-11|1|0.0002103619577698722
1844|WFL/OPCON/MANTENIMIENTO/SUMLOG/DIARIOS|MONITOREO|2024-09-11|1|0.0022898829402915053
1845|SOPORTE/WFL/BD/CIERRA/ESTADISTICAS|OPERACION|2024-09-11|1|5.351765941924889e-06
1846|WFL/OPCON/WRBAJADOCU|NOVEDADES|2024-09-11|1|4.365914321043989e-06
1847|*SYSTEM/MFASUPPORT|UNISYS_UNASSIGNED|2024-09-11|2|5.883812848432066e-05
1848|WFL/OPCON/COPIA/SALIDA/DRMARLIPOP|OPERACION|2024-09-11|92|0.0009038694519635192
1849|WFL/OPCON/CRCEEXECAR|OPERACION|2024-09-11|1|1.1110391282943483e-06
1850|*LINC/WDPLAUNCH|SINCO|2024-09-11|4|2.7275228177704967e-05
1851|(SINCO)PSINCO/WRDATOSDEP ON EXF|UNISYS_UNASSIGNED|2024-09-11|113|0.6775432233342004
1852|WFL/OPCON/WRBAJPREA/MOVIL|OPERACION|2024-09-11|3|1.3113391401558646e-05
1853|WFL/OPCON/COPIA/SALIDA/CRSOLVDIRE|DISCOUNT|2024-09-11|1|1.9560548033351204e-06
1854|WFL/OPCON/COPIA/SALIDA/CRLISCEIMR|OPERACION|2024-09-11|1|1.283171950987839e-06
1855|WFL/OPCON/COPIA/ENTRADA/CRECEACE|OPERACION|2024-09-11|1|1.8934610496283964e-06
1856|(SINCO)OBJECT/PSINCO/COBOL/TRAE/DATOS/WRCODISOLI ON EXF|UNISYS_UNASSIGNED|2024-09-11|16|9.702031824542197e-05
1857|*SYSTEM/MCPSERVER/SUPPORT|UNISYS_SW1|2024-09-11|2|0.0
1858|(SIGHTLINE)VIEWPOINT/METERLIB ON SIGHTLINE|MONITOREO|2024-09-11|2|0.0
1859|WFL/OPCON/COPIA/SALIDA/CRDESPLDEP|SURTIDOSTAGE|2024-09-11|3|5.617789395178465e-06
1860|WFL/OPCON/COPIA/ENTRADA/CRMONEGALM|COMPRAS|2024-09-11|10|3.0264079917200984e-05
1861|(SINCO)OBJECT/COBOL//ACTUALIZA/FILECOPY/EXF ON EXF|FTP|2024-09-11|1|6.259375370672384e-07
